date,region,source,generation_mwh,vector
2008-01-01,Alberta,Combustion turbine,799878.0,v44174634
2008-02-01,Alberta,Combustion turbine,779246.0,v44174634
2008-03-01,Alberta,Combustion turbine,803235.0,v44174634
2008-04-01,Alberta,Combustion turbine,812127.0,v44174634
2008-05-01,Alberta,Combustion turbine,808616.0,v44174634
2008-06-01,Alberta,Combustion turbine,677598.0,v44174634
2008-07-01,Alberta,Combustion turbine,718511.0,v44174634
2008-08-01,Alberta,Combustion turbine,743169.0,v44174634
2008-09-01,Alberta,Combustion turbine,638185.0,v44174634
2008-10-01,Alberta,Combustion turbine,702371.0,v44174634
2008-11-01,Alberta,Combustion turbine,775359.0,v44174634
2008-12-01,Alberta,Combustion turbine,852716.0,v44174634
2009-01-01,Alberta,Combustion turbine,870622.0,v44174634
2009-02-01,Alberta,Combustion turbine,831508.0,v44174634
2009-03-01,Alberta,Combustion turbine,857787.0,v44174634
2009-04-01,Alberta,Combustion turbine,747970.0,v44174634
2009-05-01,Alberta,Combustion turbine,668116.0,v44174634
2009-06-01,Alberta,Combustion turbine,714619.0,v44174634
2009-07-01,Alberta,Combustion turbine,785112.0,v44174634
2009-08-01,Alberta,Combustion turbine,767159.0,v44174634
2009-09-01,Alberta,Combustion turbine,725405.0,v44174634
2009-10-01,Alberta,Combustion turbine,775609.0,v44174634
2009-11-01,Alberta,Combustion turbine,823842.0,v44174634
2009-12-01,Alberta,Combustion turbine,796959.0,v44174634
2010-01-01,Alberta,Combustion turbine,765351.0,v44174634
2010-02-01,Alberta,Combustion turbine,701034.0,v44174634
2010-03-01,Alberta,Combustion turbine,758736.0,v44174634
2010-04-01,Alberta,Combustion turbine,818102.0,v44174634
2010-05-01,Alberta,Combustion turbine,956490.0,v44174634
2010-06-01,Alberta,Combustion turbine,820565.0,v44174634
2010-07-01,Alberta,Combustion turbine,851414.0,v44174634
2010-08-01,Alberta,Combustion turbine,872049.0,v44174634
2010-09-01,Alberta,Combustion turbine,768811.0,v44174634
2010-10-01,Alberta,Combustion turbine,895667.0,v44174634
2010-11-01,Alberta,Combustion turbine,911949.0,v44174634
2010-12-01,Alberta,Combustion turbine,964335.0,v44174634
2011-01-01,Alberta,Combustion turbine,977490.0,v44174634
2011-02-01,Alberta,Combustion turbine,893807.0,v44174634
2011-03-01,Alberta,Combustion turbine,961476.0,v44174634
2011-04-01,Alberta,Combustion turbine,965693.0,v44174634
2011-05-01,Alberta,Combustion turbine,814155.0,v44174634
2011-06-01,Alberta,Combustion turbine,831272.0,v44174634
2011-07-01,Alberta,Combustion turbine,999529.0,v44174634
2011-08-01,Alberta,Combustion turbine,1032221.0,v44174634
2011-09-01,Alberta,Combustion turbine,880493.0,v44174634
2011-10-01,Alberta,Combustion turbine,1034890.0,v44174634
2011-11-01,Alberta,Combustion turbine,1097894.0,v44174634
2011-12-01,Alberta,Combustion turbine,1185985.0,v44174634
2012-01-01,Alberta,Combustion turbine,1481661.0,v44174634
2012-02-01,Alberta,Combustion turbine,1360619.0,v44174634
2012-03-01,Alberta,Combustion turbine,1314912.0,v44174634
2012-04-01,Alberta,Combustion turbine,1186850.0,v44174634
2012-05-01,Alberta,Combustion turbine,1064777.0,v44174634
2012-06-01,Alberta,Combustion turbine,1162475.0,v44174634
2012-07-01,Alberta,Combustion turbine,1183252.0,v44174634
2012-08-01,Alberta,Combustion turbine,1167828.0,v44174634
2012-09-01,Alberta,Combustion turbine,1133788.0,v44174634
